Dive Site ID,Dive Site Name,Distance,Lat,Lng,Record #
22386,288 Lake,21.99,29.6818,-94.984161,9631
22386,288 Lake,21.84,29.546894,-94.983536,9299
22386,288 Lake,22.34,29.546061,-94.975203,9300
22386,288 Lake,22.16,29.538006,-94.980203,9302
22386,288 Lake,24.12,29.506339,-94.956036,9306
22386,288 Lake,23.52,29.549789,-94.954347,9307
22386,288 Lake,24.54,29.576389,-94.933333,9314
24329,Little Sara Gas Rig,6.28,26.017194,-96.991125,9326
24329,Little Sara Gas Rig,9.46,25.97999200000001,-97.071486,9328
16326,Lake Charles,11.94,29.761889,-93.422653,8959
16326,Lake Charles,20.88,29.750278,-93.608333,8964
16326,Lake Charles,16.45,29.665167,-93.302183,8967
16400,Aransas Jetty,12.09,28.700258,-95.583561,9006
16975,The Reef,22.84,29.286239,-94.851794,9441
16975,The Reef,24.67,29.316933,-94.779272,9066
16975,The Reef,24.88,29.318819,-94.82535,9081
16975,The Reef,24.87,29.318708,-94.825639,9082
16975,The Reef,22.72,29.288847,-94.787139,2658
16400,Aransas Jetty,20.87,28.733586,-95.30855,3239
17141,Texas Clipper,14.39,26.150353,-97.241917,2697
16975,The Reef,17.65,28.937911,-95.080872,3243
22386,288 Lake,19.34,29.768753000000004,-95.077122,3039
22135,Mammoth Lake,16.87,28.792811,-95.347753,3092
24329,Little Sara Gas Rig,9.09,26.088689,-97.157192,8136
17141,Texas Clipper,8.96,26.21725,-97.134172,8137
23000,Port A Jetties,8.57,27.961853,-97.051711,7856
23000,Port A Jetties,14.04,28.035017,-96.994711,7857
23000,Port A Jetties,13.94,28.034544,-96.999694,8205
23556,Rig 784B,19.63,27.38365,-96.666917,4139
23001,Packery Channel,23.64,27.390319,-96.925256,4140
23556,Rig 784B,16.18,27.466981,-96.733586,4144
23001,Packery Channel,7.18,27.516983000000003,-97.183597,4147
23556,Rig 784B,5.1,27.598642,-96.630253,4149
23556,Rig 784B,6.44,27.666975,-96.683589,4152
23000,Port A Jetties,6.13,27.752808,-97.078597,4159
23000,Port A Jetties,4.78,27.775306,-97.083597,4162
23000,Port A Jetties,0.57,27.831969,-97.043597,4172
23000,Port A Jetties,0.58,27.834164,-97.041653,4175
23000,Port A Jetties,0.54,27.834469,-97.042208,4177
23000,Port A Jetties,1.71,27.85530300000001,-97.030264,4183
23561,Double Yellow,20.99,27.866325,-96.307942,4184
23000,Port A Jetties,5.71,27.898633,-96.986931,4186
23561,Double Yellow,13.58,27.900897,-96.472031,4187
23000,Port A Jetties,7.48,27.928631,-96.983597,4190
23561,Double Yellow,15.63,27.933631,-96.800261,4191
23000,Port A Jetties,13.86,28.000294,-96.916931,4193
16943,Stetson Bank National Marine Sanctuary,21.95,28.733333,-93.233333,14757
16943,Stetson Bank National Marine Sanctuary,23.35,28.699283,-93.325125,14758
22386,288 Lake,22.41,29.664964,-94.972983,14955
23540,Liberator,7.19,35.03218,-75.290439,14918
22736,Huron,5.97,35.919881,-75.711831,10844
21172,Empire Gem,4.32,35.001992,-75.40670300000002,10586
23475,John D. Gill,8.28,33.850175,-77.467742,550
23475,John D. Gill,8.39,33.850175,-77.480242,551
23475,John D. Gill,8.62,33.855731,-77.441353,552
21199,Hyde,7.69,33.866319,-77.480203,555
21191,Normannia,4.68,33.900175,-77.09133299999998,556
23527,ESSO Nashville,2.64,33.911839,-77.237175,558
